Số báo danh,Văn,Toán,Anh,Chuyên,Tổng điểm
90000,6.75,9.25,4.75,0,20.75
90001,6,9.75,8.5,6.25,36.75
90002,7,9.75,8.25,2.5,30
90003,6.75,9.75,7.5,3.75,31.5
90004,7,10,8,3.25,31.5
90005,7,10,8.5,3.25,32
90006,6.25,9.5,7,1.75,26.25
90007,6.5,9.75,8.5,4,32.75
90008,8.25,9.75,8,3.75,33.5
90009,7.5,9.75,8.75,2,30
90010,7,10,7.75,4.25,33.25
90011,6.25,8.75,5.25,2,24.25
90012,8.25,9,8.5,2,29.75
90013,8.25,9,9.25,2.75,32
90014,6.25,9,6.25,0,21.5
90015,8,10,9,4.75,36.5
90016,7.75,10,7.25,4.25,33.5
90017,6.25,10,9.5,5.25,36.25
90018,8,9.5,8.5,1.75,29.5
90019,7.5,9.5,9,2.25,30.5
90020,8,9.25,8.75,2.5,31
90021,7.75,9.5,9,3.5,33.25
90022,7,9.25,8,2.5,29.25
90023,8,10,8.25,5.75,37.75
90024,6.25,9.75,7.75,4.75,33.25
90025,6.5,9.75,8.25,2.5,29.5
90026,6.75,9.75,9.5,4.5,35
90027,8,10,7.5,5.75,37
90028,7.75,9.75,7.75,3,31.25
90029,7.25,9.75,7.75,4.25,33.25
90030,6.5,10,9,5.25,36
90031,7.5,9.75,7.75,4.25,33.5
90032,7.5,7.5,8,1.5,26
90033,6.5,9.25,5.25,2.25,25.5
90034,8.25,10,9.75,5.75,39.5
90035,4,8.25,7.25,4.75,29
90036,6.25,9.25,8.5,1.5,27
90037,6.5,9.25,7.5,4,31.25
90038,6.75,9.5,7,3,29.25
90039,6.75,9,8.25,1.5,27
90040,7,9.75,9,4.5,34.75
90041,6.5,9.25,4.5,1.75,23.75
90042,7,9,7.5,3.25,30
90043,8.5,9.75,8,3,32.25
90044,8.25,9.75,9,6.5,40
90045,8.25,9.75,9,4,35
90046,7.25,10,7.75,3.75,32.5
90047,8.5,9.25,9.25,2,31
90048,6.75,9.5,8,2.75,29.75
90049,6.5,8.75,6.75,1.75,25.5
90050,8,9.75,8.25,3.75,33.5
90051,8.25,9.75,9,4.25,35.5
90052,6.5,9.25,7.75,4.25,32
90053,7.25,9.5,6.75,3,29.5
90054,7,10,8.5,6.25,38
90055,6.5,8,5.5,1.5,23
90056,7.75,9.75,6.75,2.25,28.75
90057,8.75,10,7.25,4.75,35.5
90058,7.5,9,7.25,2.75,29.25
90059,8,9.25,7.5,3.25,31.25
90060,7.5,9.75,8.25,3.75,33
90061,8,9.75,8,3.75,33.25
90062,7.25,8.25,6,1.75,25
90063,7,10,8.5,5.25,36
90064,8.5,10,8.75,3.5,34.25
90065,6.5,10,8,5.5,35.5
90066,7,10,8.5,4.5,34.5
90067,8,8.75,5,2,25.75
90068,7.5,10,8.25,6,37.75
90069,8,9,9,2.25,30.5
90070,8,9.25,7.5,1.75,28.25
90071,8,9.25,7.5,2.75,30.25
90072,8.5,10,7,2.25,30
90073,7.75,10,8.75,2.25,31
90074,7,10,8,3.5,32
90075,7.25,10,7,3.25,30.75
90076,8.5,10,7,3.25,32
90077,8,9.75,9.5,6.5,40.25
90078,8.25,9.75,6.5,2,28.5
90079,7.5,10,8.75,3,32.25
90080,7,9.75,8,0,24.75
90081,7.5,9.75,9,5.25,36.75
90082,8,10,7.25,4,33.25
90083,8.5,8.25,6,1.5,25.75
90084,6.25,9.5,9,2.5,29.75
90085,7.5,10,9,6,38.5
90086,8,9.75,7.5,4.25,33.75
90087,8,10,9.25,3,33.25
90088,8,10,9,6.5,40
90089,8.25,10,8,5,36.25
90090,7.75,10,9,3,32.75
90091,7.75,9.5,7.25,2,28.5
90092,7.25,9.75,8.75,4.5,34.75
90093,8,9,8.75,1.75,29.25
90094,8.25,9.5,9,3,32.75
90095,6.25,9,7.5,4.5,31.75
90096,6,9,8.5,3.75,31
90097,8.25,10,9,2.25,31.75
90098,6,9.25,6.75,2,26
90099,6.75,9.75,8.5,4.75,34.5
90100,6.75,8.75,7,1.75,26
